age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
37,entrepreneur,married,primary,no,8,yes,yes,cellular,16,jul,46,1,-1,0,unknown,no
35,services,married,unknown,no,618,no,no,cellular,30,apr,951,1,-1,0,unknown,yes
53,admin.,married,secondary,no,3765,no,no,unknown,20,jun,1094,3,-1,0,unknown,yes
59,housemaid,married,primary,no,235,no,no,cellular,13,aug,119,2,-1,0,unknown,no
28,self-employed,single,tertiary,no,159,no,no,cellular,14,oct,246,2,420,2,other,yes
82,retired,married,primary,no,243,no,no,cellular,26,jul,275,1,180,2,success,yes
45,management,married,tertiary,no,160,no,no,cellular,10,nov,182,2,194,1,success,yes
77,retired,married,tertiary,no,0,no,no,cellular,17,aug,286,1,-1,0,unknown,yes
39,services,married,secondary,no,208,no,yes,cellular,9,feb,122,2,-1,0,unknown,no
34,services,married,primary,no,31,no,yes,cellular,9,jul,53,3,-1,0,unknown,no
27,technician,single,secondary,no,489,yes,no,cellular,30,jul,356,4,-1,0,unknown,yes
37,services,single,secondary,no,934,yes,no,unknown,16,may,242,3,-1,0,unknown,no
38,management,married,secondary,no,3840,yes,yes,cellular,17,nov,62,1,-1,0,unknown,no
41,unemployed,married,secondary,no,0,yes,yes,cellular,5,may,400,1,-1,0,unknown,yes
31,unemployed,single,primary,no,163,no,no,cellular,30,jan,707,2,2,1,other,yes
50,management,married,tertiary,no,0,no,no,cellular,10,aug,232,3,130,3,other,no
35,admin.,single,secondary,no,0,yes,no,cellular,8,may,376,3,-1,0,unknown,no
48,management,married,tertiary,no,5320,yes,no,unknown,20,jun,792,1,-1,0,unknown,yes
73,retired,married,unknown,no,739,no,no,cellular,11,sep,210,1,-1,0,unknown,yes
39,management,single,unknown,no,2887,yes,no,unknown,7,may,42,2,-1,0,unknown,no
46,technician,married,secondary,no,536,yes,no,unknown,16,jun,750,2,-1,0,unknown,yes
45,self-employed,married,tertiary,no,-497,yes,yes,cellular,15,may,217,1,176,1,failure,no
50,admin.,married,secondary,no,3608,yes,no,cellular,14,may,196,8,182,4,success,yes
67,retired,married,tertiary,no,1341,no,no,cellular,13,feb,706,1,-1,0,unknown,yes
47,housemaid,married,primary,no,183,no,no,cellular,13,aug,144,1,-1,0,unknown,no
31,services,single,secondary,no,-475,yes,no,telephone,12,may,232,3,-1,0,unknown,no
33,unemployed,single,secondary,no,682,no,no,cellular,5,feb,251,1,-1,0,unknown,no
53,retired,married,secondary,no,4968,no,no,cellular,6,may,109,1,87,2,failure,no
53,housemaid,married,primary,no,0,no,no,unknown,24,jun,51,8,-1,0,unknown,no
44,housemaid,single,secondary,no,299,no,no,cellular,20,nov,186,1,-1,0,unknown,no
45,self-employed,divorced,tertiary,yes,75,yes,yes,cellular,4,feb,236,1,-1,0,unknown,no
42,entrepreneur,married,primary,no,558,yes,no,cellular,6,may,186,2,-1,0,unknown,no
25,admin.,single,secondary,no,285,no,no,cellular,3,jul,658,3,-1,0,unknown,yes
31,management,single,tertiary,no,354,no,no,cellular,21,apr,242,2,-1,0,unknown,yes
35,services,married,secondary,no,819,yes,no,telephone,14,jul,102,14,-1,0,unknown,no
53,management,married,secondary,no,90,yes,no,telephone,20,apr,67,5,-1,0,unknown,no
60,technician,married,secondary,no,294,no,no,telephone,3,jun,206,4,-1,0,unknown,yes
38,management,single,tertiary,no,1515,yes,no,telephone,31,jul,42,5,-1,0,unknown,no
55,unemployed,married,primary,no,1212,no,no,cellular,31,aug,241,1,92,1,failure,no
36,admin.,single,tertiary,no,994,no,no,cellular,5,feb,195,1,176,5,failure,yes
37,management,married,tertiary,no,108,yes,yes,cellular,4,jun,262,2,-1,0,unknown,yes
42,technician,married,secondary,no,2,no,no,unknown,29,may,249,2,-1,0,unknown,no
72,retired,married,secondary,no,1129,no,no,cellular,25,nov,208,1,91,1,success,yes
33,housemaid,single,tertiary,no,1107,yes,no,cellular,18,mar,201,1,-1,0,unknown,yes
30,blue-collar,single,secondary,no,80,yes,yes,cellular,5,may,145,1,337,4,failure,no
38,unemployed,single,secondary,no,804,no,no,cellular,1,jun,1087,1,-1,0,unknown,yes
57,technician,married,secondary,no,458,no,yes,cellular,15,jul,177,3,-1,0,unknown,no
43,unemployed,married,primary,no,519,no,no,unknown,20,jun,973,2,-1,0,unknown,yes
26,student,single,tertiary,no,641,yes,no,cellular,15,may,55,1,368,1,failure,no
85,retired,divorced,primary,no,7613,no,no,cellular,18,feb,355,3,-1,0,unknown,yes
47,admin.,married,unknown,no,989,no,no,unknown,19,jun,116,1,-1,0,unknown,no
68,retired,married,tertiary,no,2812,no,no,cellular,3,aug,392,4,181,3,success,yes
39,blue-collar,married,secondary,no,167,yes,yes,cellular,12,may,612,1,-1,0,unknown,yes
32,technician,single,tertiary,no,34646,no,no,telephone,13,aug,618,9,-1,0,unknown,yes
38,blue-collar,married,secondary,no,961,yes,no,unknown,16,may,346,1,-1,0,unknown,no
30,management,married,tertiary,no,7,yes,no,cellular,28,aug,173,1,164,4,other,yes
36,student,single,unknown,no,417,no,no,cellular,10,aug,304,1,181,1,success,yes
43,technician,married,tertiary,no,4333,yes,no,cellular,20,nov,1490,3,-1,0,unknown,yes
50,management,single,tertiary,no,3537,no,no,unknown,24,oct,305,1,-1,0,unknown,yes
59,retired,married,tertiary,no,422,yes,no,cellular,14,may,647,4,-1,0,unknown,yes
47,management,married,unknown,no,4567,no,no,telephone,31,jul,921,4,-1,0,unknown,no
34,admin.,divorced,secondary,no,479,yes,no,cellular,12,may,515,1,350,5,failure,yes
20,student,single,tertiary,no,2764,yes,no,unknown,29,may,139,2,-1,0,unknown,no
54,management,married,tertiary,no,1938,yes,no,telephone,31,jul,81,7,-1,0,unknown,no
64,housemaid,married,unknown,no,2645,no,no,telephone,3,feb,219,2,-1,0,unknown,yes
42,blue-collar,married,secondary,no,443,yes,no,unknown,2,jun,671,5,-1,0,unknown,yes
80,retired,married,primary,no,155,no,no,telephone,9,dec,343,2,-1,0,unknown,yes
27,management,single,secondary,no,35,no,no,cellular,4,jul,255,1,-1,0,unknown,no
61,self-employed,married,tertiary,no,10861,no,no,cellular,25,oct,225,1,91,5,success,yes
31,blue-collar,single,secondary,no,196,yes,no,cellular,5,may,568,1,341,7,failure,yes
51,technician,married,secondary,no,-1944,yes,no,cellular,7,may,623,1,-1,0,unknown,yes
30,management,single,secondary,no,186,yes,no,cellular,20,nov,235,3,-1,0,unknown,no
43,self-employed,single,unknown,no,3173,no,no,unknown,15,may,746,1,-1,0,unknown,yes
34,management,married,secondary,no,56,yes,no,cellular,20,nov,311,3,183,1,failure,no
30,unemployed,married,secondary,no,142,yes,no,unknown,20,may,350,4,-1,0,unknown,no
54,management,married,secondary,no,1134,yes,no,cellular,25,jul,1330,3,-1,0,unknown,yes
32,management,single,tertiary,no,0,yes,no,cellular,20,apr,415,2,-1,0,unknown,no
37,blue-collar,married,primary,no,3517,yes,no,unknown,23,may,445,1,-1,0,unknown,no
43,entrepreneur,married,tertiary,no,13342,yes,no,cellular,18,nov,465,1,-1,0,unknown,no
26,admin.,single,secondary,no,96,no,no,cellular,6,may,606,1,345,1,failure,no
49,blue-collar,married,primary,no,23,yes,no,unknown,23,may,247,1,-1,0,unknown,no
40,management,married,tertiary,no,0,no,no,cellular,14,jul,109,8,-1,0,unknown,no
32,student,single,secondary,no,14,no,no,cellular,19,aug,144,3,136,1,other,no
30,self-employed,married,secondary,no,131,yes,no,unknown,8,may,306,1,-1,0,unknown,no
39,admin.,single,tertiary,no,22086,no,no,cellular,4,jun,160,1,-1,0,unknown,yes
72,retired,married,secondary,no,5715,no,no,cellular,17,nov,1127,5,184,3,success,yes
41,blue-collar,married,primary,no,219,no,yes,unknown,18,jun,1574,3,-1,0,unknown,yes
34,admin.,married,secondary,no,79,yes,no,unknown,23,may,83,1,-1,0,unknown,no
39,management,married,tertiary,no,2939,no,no,cellular,6,oct,608,1,99,3,failure,yes
51,blue-collar,married,primary,no,1869,no,no,unknown,17,jun,30,3,-1,0,unknown,no
32,management,married,tertiary,no,62,yes,no,cellular,14,may,166,1,-1,0,unknown,no
40,retired,single,secondary,no,1400,no,no,unknown,20,jun,20,7,-1,0,unknown,no
31,management,married,tertiary,no,676,no,no,cellular,7,aug,1182,1,-1,0,unknown,yes
30,management,single,tertiary,no,136,yes,no,unknown,23,may,152,1,-1,0,unknown,no
32,entrepreneur,married,secondary,no,1996,yes,no,cellular,18,nov,271,1,-1,0,unknown,no
54,management,married,primary,no,366,yes,no,unknown,15,may,589,1,-1,0,unknown,no
30,admin.,married,secondary,no,1265,yes,yes,unknown,26,may,414,2,-1,0,unknown,yes
25,student,single,secondary,no,2975,no,no,cellular,2,sep,799,2,-1,0,unknown,yes
29,admin.,single,secondary,no,2768,yes,no,unknown,2,jun,121,4,-1,0,unknown,no
41,management,married,tertiary,no,0,no,no,cellular,11,aug,1242,5,-1,0,unknown,yes
32,management,married,tertiary,no,9214,no,yes,unknown,18,oct,71,1,-1,0,unknown,no
53,blue-collar,married,secondary,no,4380,no,no,telephone,19,aug,223,7,-1,0,unknown,no
61,retired,married,primary,no,197,no,no,cellular,17,feb,113,1,-1,0,unknown,yes
26,technician,single,secondary,no,941,no,yes,cellular,25,jul,784,1,-1,0,unknown,yes
27,services,married,secondary,no,0,yes,no,cellular,23,jul,198,13,-1,0,unknown,no
59,retired,married,unknown,no,613,no,no,cellular,19,aug,75,2,-1,0,unknown,no
43,blue-collar,single,primary,no,0,no,no,unknown,9,may,71,3,-1,0,unknown,no
76,retired,married,primary,no,163,no,no,telephone,13,oct,120,1,-1,0,unknown,no
36,blue-collar,married,primary,no,403,yes,no,unknown,4,jun,920,1,-1,0,unknown,yes
51,unemployed,married,tertiary,no,1801,no,no,cellular,16,apr,838,3,-1,0,unknown,yes
54,management,married,tertiary,no,1624,no,no,cellular,12,may,166,3,182,10,success,yes
36,management,married,tertiary,no,93,no,no,cellular,12,jul,262,2,182,7,failure,yes
33,technician,married,secondary,no,0,no,no,cellular,25,aug,296,8,-1,0,unknown,no
27,blue-collar,single,secondary,no,137,no,yes,cellular,25,jul,359,1,-1,0,unknown,no
64,retired,married,secondary,no,3189,no,no,telephone,15,jun,208,1,-1,0,unknown,yes
32,blue-collar,married,secondary,no,889,yes,no,cellular,10,sep,185,1,99,5,success,yes
46,services,married,secondary,no,-119,yes,no,cellular,22,jul,151,3,-1,0,unknown,no
42,management,married,primary,no,5310,yes,no,cellular,20,aug,273,1,90,3,success,yes
35,management,married,tertiary,no,2682,yes,no,cellular,9,jul,156,1,-1,0,unknown,no
43,blue-collar,married,secondary,no,953,yes,no,cellular,4,feb,765,2,-1,0,unknown,yes
44,blue-collar,married,primary,no,140,yes,no,unknown,15,may,7,9,-1,0,unknown,no
37,admin.,married,tertiary,no,0,yes,no,cellular,17,nov,65,2,119,1,failure,no
31,management,single,tertiary,no,713,no,no,cellular,28,aug,162,1,-1,0,unknown,no
29,admin.,single,secondary,no,1992,no,no,cellular,12,apr,119,2,-1,0,unknown,no
28,blue-collar,married,secondary,no,4287,no,no,cellular,30,apr,171,1,-1,0,unknown,no
50,management,single,tertiary,no,297,yes,no,unknown,5,may,119,1,-1,0,unknown,no
56,blue-collar,married,secondary,no,1210,no,no,unknown,11,jun,935,1,-1,0,unknown,yes
60,retired,married,tertiary,no,108,no,no,cellular,26,aug,624,1,-1,0,unknown,yes
53,entrepreneur,married,primary,no,27,yes,no,telephone,10,sep,230,3,-1,0,unknown,yes
47,blue-collar,married,secondary,no,1568,yes,no,cellular,21,may,226,3,91,8,success,yes
25,management,single,tertiary,no,1317,no,no,cellular,26,may,176,1,-1,0,unknown,yes
37,management,married,tertiary,no,11265,no,no,unknown,18,jun,417,1,-1,0,unknown,no
52,management,single,tertiary,no,741,no,no,cellular,7,aug,63,2,-1,0,unknown,no
32,management,single,tertiary,no,4291,no,no,cellular,7,aug,1321,9,-1,0,unknown,yes
33,student,married,secondary,no,1536,no,no,cellular,9,nov,262,1,94,2,success,yes
36,blue-collar,married,secondary,no,1193,no,no,cellular,30,oct,640,1,-1,0,unknown,yes
42,blue-collar,married,primary,no,2103,yes,no,cellular,13,apr,384,2,-1,0,unknown,yes
40,blue-collar,single,unknown,no,24,yes,no,unknown,5,may,185,1,-1,0,unknown,no
39,admin.,married,secondary,no,260,yes,no,cellular,13,nov,226,1,94,4,success,yes
32,student,single,tertiary,no,1138,no,no,telephone,10,feb,402,3,-1,0,unknown,yes
27,technician,single,secondary,no,261,yes,no,cellular,29,jan,236,2,247,2,failure,no
34,blue-collar,married,secondary,no,640,yes,no,cellular,29,apr,636,2,-1,0,unknown,yes
53,blue-collar,married,secondary,no,0,yes,no,cellular,7,may,407,2,-1,0,unknown,no
36,blue-collar,married,secondary,no,249,yes,no,cellular,15,may,709,5,-1,0,unknown,yes
38,blue-collar,divorced,primary,no,-258,yes,no,cellular,14,may,134,2,370,4,other,no
41,blue-collar,married,secondary,no,641,yes,no,unknown,13,may,161,1,-1,0,unknown,no
51,management,married,tertiary,no,3463,no,yes,cellular,13,jul,371,2,166,3,other,yes
31,management,married,tertiary,no,537,yes,no,cellular,18,aug,216,1,-1,0,unknown,yes
30,technician,married,secondary,no,418,yes,no,unknown,3,jun,112,1,-1,0,unknown,no
50,blue-collar,married,primary,no,71,yes,no,unknown,6,may,678,1,-1,0,unknown,no
71,technician,married,secondary,no,3020,no,no,telephone,30,jul,304,1,270,3,failure,yes
56,technician,married,secondary,no,0,yes,yes,cellular,29,apr,152,1,223,3,other,no
35,admin.,divorced,secondary,no,3636,no,yes,cellular,21,nov,808,2,-1,0,unknown,yes
31,management,married,tertiary,no,1164,yes,yes,cellular,18,jul,238,3,-1,0,unknown,no
24,blue-collar,single,secondary,no,1857,yes,no,cellular,8,oct,147,1,92,5,other,yes
20,blue-collar,single,secondary,no,423,yes,no,cellular,16,apr,498,1,-1,0,unknown,yes
35,admin.,single,tertiary,no,1374,yes,no,cellular,15,may,319,1,-1,0,unknown,no
56,retired,divorced,secondary,no,389,yes,no,unknown,18,jun,379,5,-1,0,unknown,no
33,services,married,secondary,no,881,yes,no,unknown,21,may,67,5,-1,0,unknown,no
31,entrepreneur,divorced,tertiary,no,0,yes,no,cellular,18,nov,164,1,-1,0,unknown,no
33,admin.,single,secondary,no,241,no,no,cellular,22,jul,490,1,-1,0,unknown,no
47,blue-collar,married,secondary,no,3630,yes,no,unknown,14,may,133,4,-1,0,unknown,no
49,technician,divorced,secondary,no,305,no,no,cellular,24,jul,367,2,-1,0,unknown,yes
36,self-employed,single,tertiary,no,583,no,no,cellular,30,jan,859,1,235,1,other,no
31,blue-collar,single,secondary,no,-159,no,yes,telephone,21,nov,49,1,-1,0,unknown,no
49,technician,divorced,secondary,no,972,no,no,cellular,16,nov,104,3,175,2,failure,no
43,admin.,married,secondary,no,817,yes,yes,cellular,21,nov,51,1,-1,0,unknown,no
35,management,divorced,tertiary,no,1723,yes,no,cellular,25,jul,862,1,-1,0,unknown,yes
41,admin.,single,secondary,no,-109,yes,yes,cellular,11,may,1038,1,370,1,failure,yes
37,management,divorced,tertiary,no,481,yes,no,cellular,19,aug,97,6,-1,0,unknown,no
47,management,married,tertiary,no,0,no,no,cellular,19,aug,213,2,-1,0,unknown,no
46,blue-collar,married,secondary,no,624,yes,no,cellular,16,apr,201,1,-1,0,unknown,no
43,blue-collar,single,primary,no,548,yes,no,unknown,7,may,98,1,-1,0,unknown,no
46,self-employed,single,primary,no,2032,no,no,cellular,30,jul,424,2,-1,0,unknown,no
56,admin.,divorced,secondary,no,1693,no,no,cellular,26,oct,238,4,442,4,failure,yes
67,retired,divorced,tertiary,no,443,no,no,cellular,18,aug,441,1,-1,0,unknown,yes
35,management,single,tertiary,no,643,yes,no,unknown,23,may,322,1,-1,0,unknown,no
35,technician,married,secondary,no,410,yes,no,cellular,20,nov,67,2,-1,0,unknown,no
68,retired,married,secondary,no,1146,no,no,cellular,3,mar,153,2,110,3,success,yes
42,unemployed,married,secondary,no,-165,yes,yes,unknown,27,may,179,3,-1,0,unknown,no
44,housemaid,married,secondary,no,192,no,no,unknown,11,jun,232,2,-1,0,unknown,no
46,blue-collar,married,secondary,no,2603,yes,yes,cellular,11,may,50,3,277,2,failure,no
51,housemaid,divorced,tertiary,no,1613,no,no,cellular,4,aug,870,1,-1,0,unknown,yes
57,technician,married,secondary,no,6362,yes,yes,cellular,18,nov,66,1,-1,0,unknown,no
30,admin.,single,secondary,no,28,no,no,unknown,20,aug,107,1,-1,0,unknown,no
42,blue-collar,married,secondary,no,790,yes,no,unknown,29,may,356,2,-1,0,unknown,no
33,blue-collar,married,secondary,no,-253,yes,no,cellular,12,may,89,3,-1,0,unknown,no
36,blue-collar,divorced,primary,no,-308,yes,no,cellular,12,may,725,1,-1,0,unknown,yes
46,self-employed,single,secondary,no,526,no,no,cellular,30,apr,523,1,87,2,other,yes
35,management,single,tertiary,no,62,yes,no,cellular,20,apr,213,3,-1,0,unknown,yes
59,unemployed,married,secondary,no,957,no,no,cellular,8,mar,301,1,89,2,success,yes
36,services,married,secondary,no,394,no,no,cellular,5,aug,324,1,-1,0,unknown,yes
34,blue-collar,married,secondary,no,320,yes,no,cellular,12,nov,413,1,92,3,success,yes
50,management,single,tertiary,no,1200,no,no,cellular,14,aug,904,3,-1,0,unknown,yes
29,management,single,tertiary,no,2955,no,no,cellular,29,apr,226,2,-1,0,unknown,yes
38,management,married,tertiary,no,119,yes,no,unknown,13,may,568,4,-1,0,unknown,yes
39,management,married,secondary,no,0,yes,no,cellular,24,jul,21,21,-1,0,unknown,no
31,management,married,tertiary,no,1032,no,no,cellular,7,jul,284,1,-1,0,unknown,yes
36,management,married,tertiary,no,659,no,no,cellular,28,aug,90,13,-1,0,unknown,no
33,housemaid,married,primary,no,0,no,no,cellular,11,aug,237,2,-1,0,unknown,no
56,blue-collar,married,secondary,no,249,yes,no,unknown,29,may,791,2,-1,0,unknown,yes
58,technician,married,secondary,no,99,no,no,telephone,22,sep,396,2,-1,0,unknown,yes
52,management,divorced,tertiary,no,-803,yes,no,cellular,7,aug,131,3,-1,0,unknown,no
31,management,married,tertiary,no,0,yes,no,cellular,4,may,108,2,167,1,failure,no
66,retired,married,unknown,no,2540,no,no,telephone,10,dec,441,2,156,1,other,yes
27,student,single,tertiary,no,3733,yes,no,cellular,22,may,198,1,98,6,success,yes
41,admin.,single,secondary,no,812,no,yes,unknown,11,jun,583,4,-1,0,unknown,yes
31,services,single,secondary,no,629,yes,no,unknown,21,may,369,2,-1,0,unknown,no
30,technician,single,tertiary,no,411,no,no,cellular,22,oct,127,3,149,2,failure,yes
28,technician,single,tertiary,no,375,yes,no,cellular,14,may,43,1,350,1,other,no
45,student,single,unknown,no,1527,no,no,cellular,8,mar,132,1,-1,0,unknown,yes
42,management,married,tertiary,no,294,no,no,cellular,26,aug,513,1,-1,0,unknown,yes
27,management,single,secondary,no,145,yes,no,cellular,5,may,121,4,89,3,failure,no
36,management,single,tertiary,no,1379,no,no,cellular,25,may,189,1,186,1,failure,yes
20,student,single,secondary,no,215,no,no,cellular,24,nov,325,1,95,5,success,yes
43,technician,divorced,secondary,no,0,yes,no,cellular,5,may,150,2,342,2,failure,no
44,blue-collar,married,secondary,no,879,yes,no,cellular,3,apr,383,1,-1,0,unknown,no
43,blue-collar,married,primary,no,377,no,yes,unknown,20,jun,11,5,-1,0,unknown,no
39,blue-collar,married,secondary,no,171,yes,yes,cellular,8,may,153,1,353,1,failure,no
39,blue-collar,married,primary,no,398,yes,no,cellular,12,may,256,1,-1,0,unknown,no
26,technician,single,secondary,no,3244,no,no,cellular,2,feb,141,1,5,1,failure,no
26,admin.,single,secondary,no,96,no,no,cellular,11,aug,349,1,70,3,failure,yes
40,blue-collar,married,primary,no,0,no,no,cellular,24,jul,313,1,-1,0,unknown,no
35,management,single,tertiary,no,68,no,no,unknown,6,jun,1085,1,-1,0,unknown,yes
33,management,single,tertiary,no,0,no,no,unknown,27,may,277,1,-1,0,unknown,no
31,services,married,secondary,no,447,no,no,cellular,19,mar,220,3,-1,0,unknown,yes
60,retired,married,secondary,no,975,no,no,cellular,16,sep,303,1,792,1,failure,yes
29,services,single,secondary,no,192,no,no,cellular,30,jan,327,4,-1,0,unknown,no
25,student,single,tertiary,no,1189,no,no,cellular,3,jun,165,1,-1,0,unknown,yes
78,retired,married,unknown,no,3208,no,no,telephone,20,may,351,3,-1,0,unknown,yes
33,technician,single,tertiary,no,109,yes,yes,cellular,25,may,601,2,10,7,failure,yes
59,technician,married,primary,no,3163,yes,no,unknown,29,may,240,2,-1,0,unknown,no
60,admin.,married,secondary,no,3735,no,no,cellular,22,mar,248,1,90,10,success,yes
41,technician,married,secondary,no,128,yes,no,cellular,27,aug,100,2,-1,0,unknown,no
43,blue-collar,married,secondary,no,1096,no,yes,unknown,30,may,180,1,-1,0,unknown,no
27,blue-collar,single,secondary,no,535,no,no,cellular,16,nov,183,1,94,1,success,yes
36,technician,divorced,secondary,no,160,yes,no,unknown,26,may,142,1,-1,0,unknown,no
32,management,married,tertiary,no,134,no,yes,cellular,29,aug,162,2,-1,0,unknown,no
44,technician,married,tertiary,no,1933,no,no,cellular,5,jun,462,1,-1,0,unknown,yes
53,housemaid,married,primary,no,2581,no,no,cellular,21,oct,828,1,189,1,failure,yes
59,retired,single,secondary,no,351,yes,no,unknown,27,may,1063,5,-1,0,unknown,yes
35,blue-collar,divorced,primary,no,300,yes,no,unknown,13,may,945,2,-1,0,unknown,yes
32,management,married,tertiary,no,0,no,no,unknown,9,may,280,1,-1,0,unknown,no
30,services,married,tertiary,no,81,no,no,cellular,22,apr,145,1,-1,0,unknown,yes
34,blue-collar,married,primary,no,218,yes,yes,unknown,21,may,260,1,-1,0,unknown,no
55,management,single,tertiary,no,0,no,no,cellular,3,nov,222,3,187,3,failure,no
28,blue-collar,married,secondary,no,173,no,no,cellular,18,jul,588,7,-1,0,unknown,yes
37,admin.,married,secondary,yes,0,no,no,unknown,9,jun,89,1,-1,0,unknown,no
27,unemployed,single,secondary,no,771,no,no,cellular,21,oct,181,1,302,3,other,yes
35,management,single,tertiary,no,2306,no,no,cellular,18,aug,86,7,-1,0,unknown,no
40,blue-collar,single,secondary,no,3,no,no,cellular,19,nov,998,1,-1,0,unknown,yes
46,management,married,tertiary,no,2817,no,no,cellular,17,sep,543,1,-1,0,unknown,yes
